slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
E8A/A0p/train_250k/structural:choose/accuracy,E8A,A0p,250k,structural,structural:choose,accuracy on the structural slice choose,g21_pinned_normalised_exact_match,0.67115,"[0.64953, 0.69314]",1042,465,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.structural-choose.accuracy
E8A/A0p/train_250k/structural:compare/accuracy,E8A,A0p,250k,structural,structural:compare,accuracy on the structural slice compare,g21_pinned_normalised_exact_match,0.59934,"[0.56311, 0.63574]",302,226,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.structural-compare.accuracy
E8A/A0p/train_250k/structural:logical/accuracy,E8A,A0p,250k,structural,structural:logical,accuracy on the structural slice logical,g21_pinned_normalised_exact_match,0.69552,"[0.67546, 0.71566]",1236,561,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.structural-logical.accuracy
E8A/A0p/train_250k/structural:query/accuracy,E8A,A0p,250k,structural,structural:query,accuracy on the structural slice query,g21_pinned_normalised_exact_match,0.51847,"[0.49685, 0.54050]",3104,687,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.structural-query.accuracy
E8A/A0p/train_250k/structural:verify/accuracy,E8A,A0p,250k,structural,structural:verify,accuracy on the structural slice verify,g21_pinned_normalised_exact_match,0.60903,"[0.59372, 0.62420]",2030,615,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.structural-verify.accuracy
E8A/A1/train_250k/structural:choose/accuracy,E8A,A1,250k,structural,structural:choose,accuracy on the structural slice choose,g21_pinned_normalised_exact_match,0.64651,"[0.62404, 0.66972]",1042,465,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.structural-choose.accuracy
E8A/A1/train_250k/structural:compare/accuracy,E8A,A1,250k,structural,structural:compare,accuracy on the structural slice compare,g21_pinned_normalised_exact_match,0.60927,"[0.56982, 0.64605]",302,226,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.structural-compare.accuracy
E8A/A1/train_250k/structural:logical/accuracy,E8A,A1,250k,structural,structural:logical,accuracy on the structural slice logical,g21_pinned_normalised_exact_match,0.65534,"[0.63589, 0.67464]",1236,561,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.structural-logical.accuracy
E8A/A1/train_250k/structural:query/accuracy,E8A,A1,250k,structural,structural:query,accuracy on the structural slice query,g21_pinned_normalised_exact_match,0.50784,"[0.48643, 0.53070]",3104,687,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.structural-query.accuracy
E8A/A1/train_250k/structural:verify/accuracy,E8A,A1,250k,structural,structural:verify,accuracy on the structural slice verify,g21_pinned_normalised_exact_match,0.57997,"[0.56411, 0.59534]",2030,615,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.structural-verify.accuracy
E8A/A1r/train_250k/structural:choose/accuracy,E8A,A1r,250k,structural,structural:choose,accuracy on the structural slice choose,g21_pinned_normalised_exact_match,0.55694,"[0.53132, 0.58231]",1042,465,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.structural-choose.accuracy
E8A/A1r/train_250k/structural:compare/accuracy,E8A,A1r,250k,structural,structural:compare,accuracy on the structural slice compare,g21_pinned_normalised_exact_match,0.58609,"[0.54468, 0.62431]",302,226,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.structural-compare.accuracy
E8A/A1r/train_250k/structural:logical/accuracy,E8A,A1r,250k,structural,structural:logical,accuracy on the structural slice logical,g21_pinned_normalised_exact_match,0.55043,"[0.52929, 0.57131]",1236,561,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.structural-logical.accuracy
E8A/A1r/train_250k/structural:query/accuracy,E8A,A1r,250k,structural,structural:query,accuracy on the structural slice query,g21_pinned_normalised_exact_match,0.48475,"[0.46180, 0.50731]",3104,687,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.structural-query.accuracy
E8A/A1r/train_250k/structural:verify/accuracy,E8A,A1r,250k,structural,structural:verify,accuracy on the structural slice verify,g21_pinned_normalised_exact_match,0.54483,"[0.52865, 0.56082]",2030,615,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.structural-verify.accuracy
