slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_02/concat/train_40k/semantic:attr/accuracy,v2_02,concat,40k,semantic,semantic:attr,accuracy on the semantic slice attr,v2_closed_vocab_top1_index_match,0.46120,"[0.44560, 0.47637]",2964,691,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-attr.accuracy
v2_02/concat/train_40k/semantic:cat/accuracy,v2_02,concat,40k,semantic,semantic:cat,accuracy on the semantic slice cat,v2_closed_vocab_top1_index_match,0.56583,"[0.50914, 0.61781]",439,219,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-cat.accuracy
v2_02/concat/train_40k/semantic:global/accuracy,v2_02,concat,40k,semantic,semantic:global,accuracy on the semantic slice global,v2_closed_vocab_top1_index_match,0.80736,"[0.75404, 0.85750]",163,133,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-global.accuracy
v2_02/concat/train_40k/semantic:obj/accuracy,v2_02,concat,40k,semantic,semantic:obj,accuracy on the semantic slice obj,v2_closed_vocab_top1_index_match,0.59846,"[0.57540, 0.62234]",1170,547,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-obj.accuracy
v2_02/concat/train_40k/semantic:rel/accuracy,v2_02,concat,40k,semantic,semantic:rel,accuracy on the semantic slice rel,v2_closed_vocab_top1_index_match,0.53553,"[0.51452, 0.55627]",2978,570,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-rel.accuracy
v2_02/concat/train_40k/steps:3/accuracy,v2_02,concat,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50559,"[0.48805, 0.52312]",3330,658,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-3.accuracy
v2_02/concat/train_40k/steps:4/accuracy,v2_02,concat,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.50460,"[0.47071, 0.53715]",870,396,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-4.accuracy
v2_02/concat/train_40k/steps:>=5/accuracy,v2_02,concat,40k,program length,steps: at least 5,accuracy on the steps slice >=5,v2_closed_vocab_top1_index_match,0.58402,"[0.55945, 0.60991]",1114,531,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-ge5.accuracy
v2_02/concat/train_40k/steps:<=2/accuracy,v2_02,concat,40k,program length,steps: at most 2,accuracy on the steps slice <=2,v2_closed_vocab_top1_index_match,0.52867,"[0.51247, 0.54586]",2400,674,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-le2.accuracy
v2_02/concat/train_40k/structural:choose/accuracy,v2_02,concat,40k,structural,structural:choose,accuracy on the structural slice choose,v2_closed_vocab_top1_index_match,0.57697,"[0.55182, 0.60113]",1042,465,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-choose.accuracy
v2_02/concat/train_40k/structural:compare/accuracy,v2_02,concat,40k,structural,structural:compare,accuracy on the structural slice compare,v2_closed_vocab_top1_index_match,0.57881,"[0.53597, 0.62451]",302,226,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-compare.accuracy
