slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
E8A/A0p/train_250k/semantic:attr/accuracy,E8A,A0p,250k,semantic,semantic:attr,accuracy on the semantic slice attr,g21_pinned_normalised_exact_match,0.51395,"[0.50017, 0.52779]",2964,691,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.semantic-attr.accuracy
E8A/A0p/train_250k/semantic:cat/accuracy,E8A,A0p,250k,semantic,semantic:cat,accuracy on the semantic slice cat,g21_pinned_normalised_exact_match,0.63857,"[0.58923, 0.68417]",439,219,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.semantic-cat.accuracy
E8A/A0p/train_250k/semantic:global/accuracy,E8A,A0p,250k,semantic,semantic:global,accuracy on the semantic slice global,g21_pinned_normalised_exact_match,0.85890,"[0.81045, 0.90389]",163,133,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.semantic-global.accuracy
E8A/A0p/train_250k/semantic:obj/accuracy,E8A,A0p,250k,semantic,semantic:obj,accuracy on the semantic slice obj,g21_pinned_normalised_exact_match,0.72108,"[0.70117, 0.74087]",1170,547,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.semantic-obj.accuracy
E8A/A0p/train_250k/semantic:rel/accuracy,E8A,A0p,250k,semantic,semantic:rel,accuracy on the semantic slice rel,g21_pinned_normalised_exact_match,0.60387,"[0.58426, 0.62269]",2978,570,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.semantic-rel.accuracy
E8A/A0p/train_250k/steps:3/accuracy,E8A,A0p,250k,program length,steps:3,accuracy on the steps slice 3,g21_pinned_normalised_exact_match,0.55536,"[0.53992, 0.57135]",3330,658,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.steps-3.accuracy
E8A/A0p/train_250k/steps:4/accuracy,E8A,A0p,250k,program length,steps:4,accuracy on the steps slice 4,g21_pinned_normalised_exact_match,0.57280,"[0.54215, 0.60215]",870,396,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.steps-4.accuracy
E8A/A0p/train_250k/steps:>=5/accuracy,E8A,A0p,250k,program length,steps: at least 5,accuracy on the steps slice at least 5,g21_pinned_normalised_exact_match,0.71424,"[0.69256, 0.73580]",1114,531,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.steps-ge5.accuracy
E8A/A0p/train_250k/steps:<=2/accuracy,E8A,A0p,250k,program length,steps: at most 2,accuracy on the steps slice at most 2,g21_pinned_normalised_exact_match,0.60097,"[0.58492, 0.61661]",2400,674,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_250k.steps-le2.accuracy
E8A/A1/train_250k/semantic:attr/accuracy,E8A,A1,250k,semantic,semantic:attr,accuracy on the semantic slice attr,g21_pinned_normalised_exact_match,0.50124,"[0.48818, 0.51424]",2964,691,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.semantic-attr.accuracy
E8A/A1/train_250k/semantic:cat/accuracy,E8A,A1,250k,semantic,semantic:cat,accuracy on the semantic slice cat,g21_pinned_normalised_exact_match,0.61731,"[0.56674, 0.66594]",439,219,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.semantic-cat.accuracy
E8A/A1/train_250k/semantic:global/accuracy,E8A,A1,250k,semantic,semantic:global,accuracy on the semantic slice global,g21_pinned_normalised_exact_match,0.86094,"[0.81687, 0.90357]",163,133,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.semantic-global.accuracy
E8A/A1/train_250k/semantic:obj/accuracy,E8A,A1,250k,semantic,semantic:obj,accuracy on the semantic slice obj,g21_pinned_normalised_exact_match,0.67920,"[0.65826, 0.69989]",1170,547,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.semantic-obj.accuracy
E8A/A1/train_250k/semantic:rel/accuracy,E8A,A1,250k,semantic,semantic:rel,accuracy on the semantic slice rel,g21_pinned_normalised_exact_match,0.58081,"[0.56113, 0.59975]",2978,570,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.semantic-rel.accuracy
E8A/A1/train_250k/steps:3/accuracy,E8A,A1,250k,program length,steps:3,accuracy on the steps slice 3,g21_pinned_normalised_exact_match,0.53383,"[0.51646, 0.55140]",3330,658,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.steps-3.accuracy
E8A/A1/train_250k/steps:4/accuracy,E8A,A1,250k,program length,steps:4,accuracy on the steps slice 4,g21_pinned_normalised_exact_match,0.55057,"[0.52130, 0.58095]",870,396,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.steps-4.accuracy
E8A/A1/train_250k/steps:>=5/accuracy,E8A,A1,250k,program length,steps: at least 5,accuracy on the steps slice at least 5,g21_pinned_normalised_exact_match,0.67923,"[0.65904, 0.70012]",1114,531,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.steps-ge5.accuracy
E8A/A1/train_250k/steps:<=2/accuracy,E8A,A1,250k,program length,steps: at most 2,accuracy on the steps slice at most 2,g21_pinned_normalised_exact_match,0.58667,"[0.57193, 0.60214]",2400,674,NOT_APPLICABLE,EV-SLC-E8A.A1.train_250k.steps-le2.accuracy
E8A/A1r/train_250k/semantic:attr/accuracy,E8A,A1r,250k,semantic,semantic:attr,accuracy on the semantic slice attr,g21_pinned_normalised_exact_match,0.45502,"[0.44004, 0.46978]",2964,691,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.semantic-attr.accuracy
E8A/A1r/train_250k/semantic:cat/accuracy,E8A,A1r,250k,semantic,semantic:cat,accuracy on the semantic slice cat,g21_pinned_normalised_exact_match,0.58238,"[0.52739, 0.63471]",439,219,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.semantic-cat.accuracy
E8A/A1r/train_250k/semantic:global/accuracy,E8A,A1r,250k,semantic,semantic:global,accuracy on the semantic slice global,g21_pinned_normalised_exact_match,0.81800,"[0.76483, 0.87026]",163,133,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.semantic-global.accuracy
E8A/A1r/train_250k/semantic:obj/accuracy,E8A,A1r,250k,semantic,semantic:obj,accuracy on the semantic slice obj,g21_pinned_normalised_exact_match,0.56439,"[0.54320, 0.58565]",1170,547,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_250k.semantic-obj.accuracy
