slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v3_02a/concat/train_40k/steps:3/accuracy,v3_02a,concat,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50559,"[0.48758, 0.52263]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.concat.train_40k.steps-3.accuracy
v3_02a/concat/train_40k/steps:4/accuracy,v3_02a,concat,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.50460,"[0.47113, 0.53689]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.concat.train_40k.steps-4.accuracy
v3_02a/concat/train_40k/steps:>=4_combined/deficit,v3_02a,concat,40k,program length,steps: at least 4,pooled >=4-step deficit on the steps slice >=4_combined,v2_closed_vocab_top1_index_match,0.10502,"[0.08915, 0.12065]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.concat.train_40k.steps-ge4_combined.deficit
v3_02a/concat/train_40k/steps:>=5/accuracy,v3_02a,concat,40k,program length,steps: at least 5,accuracy on the steps slice >=5,v2_closed_vocab_top1_index_match,0.58402,"[0.55744, 0.60933]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.concat.train_40k.steps-ge5.accuracy
v3_02a/concat/train_40k/steps:<=2/accuracy,v3_02a,concat,40k,program length,steps: at most 2,accuracy on the steps slice <=2,v2_closed_vocab_top1_index_match,0.52867,"[0.51115, 0.54615]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.concat.train_40k.steps-le2.accuracy
v3_02a/direct_linear/train_40k/steps:3/accuracy,v3_02a,direct_linear,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.46625,"[0.44511, 0.48610]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.direct_linear.train_40k.steps-3.accuracy
v3_02a/direct_linear/train_40k/steps:4/accuracy,v3_02a,direct_linear,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.46184,"[0.42448, 0.49805]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.direct_linear.train_40k.steps-4.accuracy
v3_02a/direct_linear/train_40k/steps:>=4_combined/deficit,v3_02a,direct_linear,40k,program length,steps: at least 4,pooled >=4-step deficit on the steps slice >=4_combined,v2_closed_vocab_top1_index_match,0.10025,"[0.08254, 0.11827]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.direct_linear.train_40k.steps-ge4_combined.deficit
v3_02a/direct_linear/train_40k/steps:>=5/accuracy,v3_02a,direct_linear,40k,program length,steps: at least 5,accuracy on the steps slice >=5,v2_closed_vocab_top1_index_match,0.55171,"[0.52055, 0.58200]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.direct_linear.train_40k.steps-ge5.accuracy
v3_02a/direct_linear/train_40k/steps:<=2/accuracy,v3_02a,direct_linear,40k,program length,steps: at most 2,accuracy on the steps slice <=2,v2_closed_vocab_top1_index_match,0.47642,"[0.45657, 0.49737]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.direct_linear.train_40k.steps-le2.accuracy
v3_02a/meanpatch_concat/train_40k/steps:3/accuracy,v3_02a,meanpatch_concat,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.48751,"[0.47040, 0.50450]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.meanpatch_concat.train_40k.steps-3.accuracy
v3_02a/meanpatch_concat/train_40k/steps:4/accuracy,v3_02a,meanpatch_concat,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.49241,"[0.45956, 0.52534]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.meanpatch_concat.train_40k.steps-4.accuracy
v3_02a/meanpatch_concat/train_40k/steps:>=4_combined/deficit,v3_02a,meanpatch_concat,40k,program length,steps: at least 4,pooled >=4-step deficit on the steps slice >=4_combined,v2_closed_vocab_top1_index_match,0.10554,"[0.08901, 0.12247]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.meanpatch_concat.train_40k.steps-ge4_combined.deficit
v3_02a/meanpatch_concat/train_40k/steps:>=5/accuracy,v3_02a,meanpatch_concat,40k,program length,steps: at least 5,accuracy on the steps slice >=5,v2_closed_vocab_top1_index_match,0.57702,"[0.55113, 0.60240]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.meanpatch_concat.train_40k.steps-ge5.accuracy
v3_02a/meanpatch_concat/train_40k/steps:<=2/accuracy,v3_02a,meanpatch_concat,40k,program length,steps: at most 2,accuracy on the steps slice <=2,v2_closed_vocab_top1_index_match,0.53092,"[0.51484, 0.54732]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.meanpatch_concat.train_40k.steps-le2.accuracy
v3_02a/question_only/train_40k/steps:3/accuracy,v3_02a,question_only,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.39592,"[0.37970, 0.41225]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.question_only.train_40k.steps-3.accuracy
v3_02a/question_only/train_40k/steps:4/accuracy,v3_02a,question_only,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.40851,"[0.37775, 0.43747]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.question_only.train_40k.steps-4.accuracy
v3_02a/question_only/train_40k/steps:>=4_combined/deficit,v3_02a,question_only,40k,program length,steps: at least 4,pooled >=4-step deficit on the steps slice >=4_combined,v2_closed_vocab_top1_index_match,0.08090,"[0.06710, 0.09561]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.question_only.train_40k.steps-ge4_combined.deficit
v3_02a/question_only/train_40k/steps:>=5/accuracy,v3_02a,question_only,40k,program length,steps: at least 5,accuracy on the steps slice >=5,v2_closed_vocab_top1_index_match,0.60395,"[0.57851, 0.62886]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.question_only.train_40k.steps-ge5.accuracy
v3_02a/question_only/train_40k/steps:<=2/accuracy,v3_02a,question_only,40k,program length,steps: at most 2,accuracy on the steps slice <=2,v2_closed_vocab_top1_index_match,0.49425,"[0.47688, 0.51065]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.question_only.train_40k.steps-le2.accuracy
